Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag Description
Canada,5516,Production,1864,Wood fuel,2016,m3,2050000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2017,m3,1534000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2018,m3,1173756,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2019,m3,1750383,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2020,m3,1383847,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2021,m3,1383847,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1992,m3,28335,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1993,m3,40680,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1994,m3,60000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1995,m3,68000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1996,m3,67000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1997,m3,94000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1998,m3,57100,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,1999,m3,44235,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2000,m3,32460,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2001,m3,37072,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2002,m3,54307,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2003,m3,38064,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2004,m3,66072,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2005,m3,71655,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2006,m3,90350,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2007,m3,72068,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2008,m3,131185,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2009,m3,92170,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2010,m3,94948,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2011,m3,101659,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2012,m3,93000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2013,m3,69288,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2014,m3,84653,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2015,m3,32594,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2016,m3,6942,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2017,m3,2858,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2018,m3,163,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2019,m3,1376,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2020,m3,96,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5616,Import Quantity,1864,Wood fuel,2021,m3,4,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1961,m3,4900,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1962,m3,6300,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1987,m3,0,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1992,m3,188685,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1993,m3,371329,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1994,m3,400000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1995,m3,200000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1996,m3,224000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1997,m3,100000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1998,m3,38200,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,1999,m3,34595,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2000,m3,145144,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2001,m3,169105,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2002,m3,165853,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2003,m3,239544,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2004,m3,161733,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2005,m3,340499,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2006,m3,218207,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2007,m3,259375,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2008,m3,112833,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2009,m3,69065,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2010,m3,50069,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2011,m3,64945,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2012,m3,43000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2013,m3,38733,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2014,m3,62000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2015,m3,69621,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2016,m3,63537,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2017,m3,67717,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2018,m3,35320,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2019,m3,123932,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2020,m3,72730,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5916,Export Quantity,1864,Wood fuel,2021,m3,90123,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1627,"Wood fuel, coniferous",1961,m3,2719000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1962,m3,3823000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1963,m3,2475000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1964,m3,2215000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1965,m3,2051000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1966,m3,2854500,Imputed value
Canada,5516,Production,1627,"Wood fuel, coniferous",1967,m3,2793000,Imputed value
Canada,5516,Production,1627,"Wood fuel, coniferous",1968,m3,2352000,Imputed value
Canada,5516,Production,1627,"Wood fuel, coniferous",1969,m3,1624000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1970,m3,1522000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1971,m3,1251000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1972,m3,1196000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1973,m3,1145000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1974,m3,1149000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1975,m3,1219000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1976,m3,1275000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1977,m3,1038000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1978,m3,1130000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1979,m3,1356000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1980,m3,1313000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1981,m3,1453000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1982,m3,1588000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1983,m3,1655000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1984,m3,1880000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1985,m3,1839000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1986,m3,1762000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1987,m3,1652000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1988,m3,1560000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1989,m3,1480000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1990,m3,998000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1991,m3,1147000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1992,m3,1233000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1993,m3,1281000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1994,m3,1129000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1995,m3,1068000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",1996,m3,1190000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",1997,m3,1177000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",1998,m3,472000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",1999,m3,559000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2000,m3,528000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2001,m3,537000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2002,m3,521000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2003,m3,423000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2004,m3,455000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2005,m3,530000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2006,m3,494000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2007,m3,685000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2008,m3,671000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2009,m3,641000,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2010,m3,685729,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2011,m3,626205,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2012,m3,626000,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2013,m3,1049851,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2014,m3,1317442,Figure from international organizations
Canada,5516,Production,1627,"Wood fuel, coniferous",2015,m3,1317440,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2016,m3,796148,Imputed value
Canada,5516,Production,1627,"Wood fuel, coniferous",2017,m3,627202,Imputed value
Canada,5516,Production,1627,"Wood fuel, coniferous",2018,m3,526223,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2019,m3,804834,Official figure
Canada,5516,Production,1627,"Wood fuel, coniferous",2020,m3,600426,Estimated value
Canada,5516,Production,1627,"Wood fuel, coniferous",2021,m3,600426,Estimated value
Canada,5616,Import Quantity,1627,"Wood fuel, coniferous",2017,m3,2858,Official figure
Canada,5616,Import Quantity,1627,"Wood fuel, coniferous",2018,m3,122,Official figure
Canada,5616,Import Quantity,1627,"Wood fuel, coniferous",2019,m3,1338,Official figure
Canada,5616,Import Quantity,1627,"Wood fuel, coniferous",2020,m3,27,Official figure
Canada,5616,Import Quantity,1627,"Wood fuel, coniferous",2021,m3,1,Official figure
Canada,5916,Export Quantity,1627,"Wood fuel, coniferous",2017,m3,67717,Official figure
Canada,5916,Export Quantity,1627,"Wood fuel, coniferous",2018,m3,32844,Official figure
Canada,5916,Export Quantity,1627,"Wood fuel, coniferous",2019,m3,109141,Official figure
Canada,5916,Export Quantity,1627,"Wood fuel, coniferous",2020,m3,57594,Imputed value
Canada,5916,Export Quantity,1627,"Wood fuel, coniferous",2021,m3,71294,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1961,m3,4163000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1962,m3,2634000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1963,m3,3556000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1964,m3,3417000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1965,m3,3171000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1966,m3,4554000,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1967,m3,4461000,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1968,m3,4756500,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1969,m3,2661000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1970,m3,2611000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1971,m3,2400000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1972,m3,2187000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1973,m3,3060000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1974,m3,2331000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1975,m3,2564000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1976,m3,2653000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1977,m3,2682000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1978,m3,3124000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1979,m3,3354000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1980,m3,3527000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1981,m3,4107000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1982,m3,4163000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1983,m3,4653000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1984,m3,4782000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1985,m3,4869000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1986,m3,5140000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1987,m3,4977000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1988,m3,4729000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1989,m3,4670000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1990,m3,5171000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1991,m3,5534000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1992,m3,5155000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1993,m3,5142000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1994,m3,4749000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1995,m3,4251000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1996,m3,4235000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1997,m3,4022000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1998,m3,2569000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",1999,m3,2343000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2000,m3,2399000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2001,m3,2371000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2002,m3,2345000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2003,m3,2420000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2004,m3,2345000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2005,m3,2344000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2006,m3,2427000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2007,m3,2524000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2008,m3,2469000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2009,m3,2359000,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2010,m3,2525271,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2011,m3,816619,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2012,m3,816000,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2013,m3,3274922,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2014,m3,3321544,Figure from international organizations
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2015,m3,3321540,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2016,m3,1253852,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2017,m3,906798,Imputed value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2018,m3,647533,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2019,m3,945549,Official figure
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2020,m3,783421,Estimated value
Canada,5516,Production,1628,"Wood fuel, non-coniferous",2021,m3,783421,Estimated value
Canada,5616,Import Quantity,1628,"Wood fuel, non-coniferous",2018,m3,41,Official figure
Canada,5616,Import Quantity,1628,"Wood fuel, non-coniferous",2019,m3,38,Official figure
Canada,5616,Import Quantity,1628,"Wood fuel, non-coniferous",2020,m3,69,Official figure
Canada,5616,Import Quantity,1628,"Wood fuel, non-coniferous",2021,m3,3,Official figure
Canada,5916,Export Quantity,1628,"Wood fuel, non-coniferous",2018,m3,2476,Official figure
Canada,5916,Export Quantity,1628,"Wood fuel, non-coniferous",2019,m3,14791,Official figure
Canada,5916,Export Quantity,1628,"Wood fuel, non-coniferous",2020,m3,15136,Imputed value
Canada,5916,Export Quantity,1628,"Wood fuel, non-coniferous",2021,m3,18829,Imputed value
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1992,m3,28335,Official figure
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1993,m3,40680,Official figure
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1994,m3,60000,Official figure
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1995,m3,68000,Imputed value
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1996,m3,67000,Imputed value
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1997,m3,94000,Imputed value
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1998,m3,57100,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",1999,m3,44235,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",2000,m3,32460,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",2001,m3,37072,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",2002,m3,54307,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",2003,m3,38064,Figure from international organizations
Canada,5616,Import Quantity,1629,"Wood fuel, all species (export/import, 1961-2016)",2004,m3,66072,Figure from international organizations
